Brick Code,Class Code,Family Code,Segment Code,Brick Description,Class Description,Family Description,Segment Description
10008042,50202200,50200000,50000000,Alcohol Flavouring Kit,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000142,50202200,50200000,50000000,Alcohol Making Kits,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000143,50202200,50200000,50000000,Alcohol Making Supplies,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000591,50202200,50200000,50000000,Alcoholic Beverages Variety Packs,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000144,50202200,50200000,50000000,Alcoholic Pre-mixed Drinks,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000589,50202200,50200000,50000000,Alcoholic Syrups and Bitters,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000181,50202200,50200000,50000000,Apple/Pear Alcoholic Beverage – Sparkling,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10006327,50202200,50200000,50000000,Apple/Pear Alcoholic Beverage – Still,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008032,50202200,50200000,50000000,Apple/Pear Beverage - Sparkling (Non-Alcoholic),Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008033,50202200,50200000,50000000,Apple/Pear Beverage - Still (Non-Alcoholic),Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000159,50202200,50200000,50000000,Beer,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008029,50202200,50200000,50000000,Beer (Non-Alcoholic),Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000227,50202200,50200000,50000000,Liqueurs,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10003689,50202200,50200000,50000000,Non Grape Fermented Alcoholic Beverages – Sparkling,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000588,50202200,50200000,50000000,Non Grape Fermented Alcoholic Beverages – Still,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008035,50202200,50200000,50000000,Pre-mixed Drinks - Non-Alcoholic,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000263,50202200,50200000,50000000,Spirits,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008034,50202200,50200000,50000000,Spirits - Non-Alcoholic,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000273,50202200,50200000,50000000,Wine – Fortified,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000275,50202200,50200000,50000000,Wine – Sparkling,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008030,50202200,50200000,50000000,Wine – Sparkling (Non-Alcoholic),Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000276,50202200,50200000,50000000,Wine – Still,Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10008031,50202200,50200000,50000000,Wine – Still (Non-Alcoholic),Alcoholic Beverages (Includes De-Alcoholised Variants),Beverages,Food/Beverage/Tobacco
10000623,50202500,50200000,50000000,Beverages Variety Packs,Beverages Variety Packs,Beverages,Food/Beverage/Tobacco
10000111,50201700,50200000,50000000,Coffee – Beans/Ground,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000115,50201700,50200000,50000000,Coffee – Instant,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10000114,50201700,50200000,50000000,Coffee – Ready to Drink,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
10006311,50201700,50200000,50000000,Coffee Substitutes – Instant,Coffee/Tea/Substitutes,Beverages,Food/Beverage/Tobacco
