Brick Code,Class Code,Family Code,Segment Code,Brick Description,Class Description,Family Description,Segment Description
10008039,50360100,50360000,50000000,Feuilles de Bananier (Garniture Alimentaire),Garniture Fraîche (Nourriture),Garniture Fraîche (Nourriture),Nourriture/Boisson/Tabac
10008040,50360100,50360000,50000000,Feuilles de Cactus (Garniture Alimentaire),Garniture Fraîche (Nourriture),Garniture Fraîche (Nourriture),Nourriture/Boisson/Tabac
10008041,50360100,50360000,50000000,Fleurs d'oranger (Garniture Alimentaire),Garniture Fraîche (Nourriture),Garniture Fraîche (Nourriture),Nourriture/Boisson/Tabac
10000612,50192100,50190000,50000000,Assortiments d'Amuse–gueules,Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10007276,50192100,50190000,50000000,Autres Amuse–gueules,Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006747,50192100,50190000,50000000,Bâtonnets salés / Mini Bretzels,Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000177,50192100,50190000,50000000,Chips/Amuse–gueules/Mélanges d’Aliments à grignoter – Naturels et Extrudés (Longue Cons.),Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006746,50192100,50190000,50000000,Doodles/ Puffs,Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10005822,50192100,50190000,50000000,Pommes d'Amour,Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000252,50192100,50190000,50000000,Pop–corn (Longue Conservation),Amuse–gueules,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000613,50193400,50190000,50000000,Assortiments d’Aliments Préparés/Préservés,Assortiments d’Aliments Préparés/Préservés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000104,50193000,50190000,50000000,Bébés/Nourrissons – Aliments Spéciaux (Longue Conservation),Bébés/Nourrissons – Nourriture et Boissons,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006273,50193000,50190000,50000000,Bébés/Nourrissons – Aliments Spéciaux (Surgelé),Bébés/Nourrissons – Nourriture et Boissons,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000610,50193000,50190000,50000000,Bébés/Nourrissons – Assortiments de Nourriture/Boissons,Bébés/Nourrissons – Nourriture et Boissons,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000105,50193000,50190000,50000000,Bébés/Nourrissons – Boissons Spécialisées (Longue Conservation),Bébés/Nourrissons – Nourriture et Boissons,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000575,50193000,50190000,50000000,Bébés/Nourrissons – Lait Maternisé (Longue Conservation),Bébés/Nourrissons – Nourriture et Boissons,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006754,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Assortiments Non-Prêts à Consommer,Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006753,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Assortiments Prêts à Consommer,Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006750,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Non Prêts à Consommer (Longue Conservation),Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006749,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Non Prêts à Consommer (Périssable),Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006748,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Non Prêts à Consommer (Surgelé),Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006752,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Prêts à Consommer (Longue Conservation),Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10006751,50193800,50190000,50000000,Les Compositions de Repas Cuisinés – Prêts à Consommer (Périssable),Composition de Repas Cuisinés,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000611,50192300,50190000,50000000,Assortiments Composés de Desserts/Nappages pour Desserts,Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000216,50192300,50190000,50000000,Crèmes Glacées/Desserts Glacés (Longue Conservation),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000215,50192300,50190000,50000000,Crèmes Glacées/Desserts Glacés (Surgelé),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000312,50192300,50190000,50000000,Desserts (Longue Conservation),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000197,50192300,50190000,50000000,Desserts (Périssable),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000196,50192300,50190000,50000000,Desserts (Surgelé),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
10000195,50192300,50190000,50000000,Sauces/Nappages pour Desserts (Longue Conservation),Desserts/Nappages pour Desserts,Aliments Préparés/Préservés,Nourriture/Boisson/Tabac
