listId,value,name,definition
CNL3101,NIX18,NIX18,"[Pays-Bas uniquement] La campagne NIX18 est une initiative du ministère néerlandais de la Santé, du Bien-être et du Sport et de nombreux partenaires (Koninklijke Horeca Nederland, KWF Kankerbestrijding, Longfonds, Institut Trimbos, NOC * NSF, supermarchés réunis au Bureau central du commerce alimentaire, GGD GHOR Pays-Bas, GGD, Thuiswinkel.org, Autorité néerlandaise de sécurité des produits alimentaires et de consommation et Ministère de la justice et de la sécurité). Le but de la campagne est de renforcer la norme sociale: ""Ne bois pas et ne fume pas avant d'avoir 18 ans"". La campagne se concentre sur l'ensemble de la société, plus particulièrement sur l'environnement des jeunes. Tout le monde devrait considérer comme normal que les jeunes ne fument pas ou ne boivent pas avant l'âge de 18 ans."
CNL3101,SEPARATE_COLLECTION,Separate collection,Code indicating that the product should not be disposed as unsorted municipal waste but should be collected separately.
CNL3101,ZWANGERSCHAPSLOGO,Pregnancy logo,"Les associations commerciales hollandaises (SpiritsNL, Dutch Brewers, KVNW et STIVA) ont produit un effort volontaire pour obtenir autant que possible le symbole de la grossesse aux Pays-Bas sur les étiquettes des boissons alcoolisées (bière, vin et spiritueux). En plus des informations existantes, le but du symbole de la grossesse est d'indiquer clairement aux femmes enceintes qu'elles ne doivent pas boire de boissons alcoolisées."
CNL3101,RETURNABLE_PET_BOTTLE_NL,Returnable PET bottle,"Statiegeld Nedeland is the implementing organization for the Dutch deposit system for large and small PET bottles of soft drinks and water.
 The use of the logo is mandatory on large and small PET bottles from 1 July 2021, which are charged with a deposit and are registered in the deposit system.
 The logo makes it clear to consumers and collection points whether or not a package contains a deposit."
CNL3162,1,GXS,GXS Product Data Quality (Formerly UDEX LTD)
CNL3162,2,IRI,IRI
CNL3162,3,AC Nielsen,AC Nielsen
CNL3162,4,GS1 Canada ECCnet,A product classification system ECCnet Classification Codes maintained by GS1 Canada and used by the GS1 Canada ECCnet Registry.
CNL3162,5,UNSPSC,United Nations Standard Products and Services Code
CNL3162,6,ECCMA,ECCMA - Electronic Commerce Code Management Association
CNL3162,7,EAN Norges Multibransje Varegruppestandard,EAN Norges Multibransje Varegruppestandard - The ENVA code is used for classification and categorising of goods and it is used as an alternative to the GPC codes in the Norwegian marketplace
CNL3162,8,Supplier Assigned,A manufacturer's own codification system
CNL3162,9,AMECE,AMECE - Code system used in the GS1 Mexico market
CNL3162,10,CCG,CCG - Code system used in the GS1 Germany market
CNL3162,11,EANFIN,EANFIN - Code system used in the GS1 Finland market
CNL3162,13,IFLS5,IFLS5 - Code system used in the GS1 France market
CNL3162,14,CBL,CBL - Code system used in the GS1 Netherlands market
CNL3162,15,JICFS,Catalogue Item Information Service of Japan JICFS. Classification system maintained by GS1 Japan and used mainly on the Japanese market.
CNL3162,16,European Union,"European Union. The economic association of over a dozen European countries which seek to create a unified, barrier-free market for products and services throughout the continent.
 Category of product eligible for EU subsidy (applies for certain dairy products with specific level of fat content.
 1 Category I - full milk (>3,5 % fat)
 2 Category II - standard milk (3,0 - 3,5 % fat)
 5 Category V - medium fat milk (1,5 - 1,8 % fat)
 7 Category VII - low fat milk (<0,5 % fat)
 9 Category IX - other"
CNL3162,17,GS1 Spain,GS1 Spain. A product classification system maintained by GS1 Spain and used in the Spanish Market.
CNL3162,18,GS1 Poland,GS1 Poland. A product classification system maintained by GS1 Poland.
CNL3162,19,Federal Agency on Technical Regulating and Metrology of the Russia Federation,A Russian government agency that serves as a national standardization body of the Russian Federation.
CNL3162,20,ECR,Efficient Consumer Response (ECR) Austria
CNL3162,21,GS1 Italy,GS1 Italy
CNL3162,22,CPV,"Common Procurement Vocabulary (CPV) was introduced in 1996 as a means of raising the level of transparency and efficiency in the field of public acquisition. The use of the standard names of the CPV facilitates the marking of the procurement contracts they are interested in. In addition, CPV facilitates the swift and exact translation of contract information for publication in the official EU Bulletin as well as the preparation of procurement statistics. The CPV code consists of eight characters as well as a control character. It is managed by the Office for Official Publications of the European Communities (OPOCE)."
CNL3162,23,IFDA,International Foodservice Distributors Association (IFDA)
CNL3162,24,AHFS,American Hospital Formulary Service AHFS Pharmacologic - Therapeutic Classification© (AHFS)
CNL3162,25,ATC,Anatomical Therapeutic Chemical classification (ATC)
CNL3162,26,ClaDiMed,Classification des Dispositifs Médicaux (ClaDiMed)
CNL3162,27,CMDR,Canadian Medical Device Regulations (CMDR)
CNL3162,28,CND,Classificazione Nazionale dei Dispositivi Medici (CND)
CNL3162,30,UKDM&D,UK Dictionary of Medicines & Devices( DM&D) Standard Coding Scheme
CNL3162,31,eCl@ss,Standardized Material and Service Classification and Dictionary
CNL3162,32,EDMA,Classification for in vitro diagnostics medical devices (EDMA)
CNL3162,33,EGAR,European Generic Article Register Classification (EGAR ) standard for medical devices
CNL3162,34,IMS,IMS Healthcare Generic Product Classification
CNL3162,35,GMDN,Global Medical Devices Nomenclature (GMDN)
CNL3162,36,GPI,Generic Product Identifier (GPI). A drug code list managed by Medi-Span.
CNL3162,37,HCPCS,Healthcare Common Procedure Coding System (HCPCS): Pronounced as Hick Picks.
CNL3162,38,ICPS,International Classification for Patient Safety (ICPS). For use in Field Testing in 2007-2008 (WHO).
CNL3162,39,MedDRA,"Medical Dictionary for Regulatory Activities (MedDRA): An international terminology employed by the pharmaceutical industry, medical product industry and regulatory agencies throughout the entire drug development process and product post marketing activities. The current version of MedDRA (version 10.0) contains a total of 84,906 unique terms. MedDRA terminology was developed under the auspices of the International Conference on Harmonization (ICH) of Technical Requirements for Registration of Pharmaceuticals for Human Use and is a registered trademark of the International Federation of Pharmaceutical Manufacturers Associations (IFPMA)."
CNL3162,40,Medical Columbus,German Medical classification system.
CNL3162,41,NAPCS,North American Classification System (NAPCS)
CNL3162,42,NHS-eClass,"National Health Service (NHS) eClass: NHS-eClass is a bespoke classification system for products and services, owned by the English National Health Service (NHS). The purpose of NHS-eClass is to facilitate the accurate analysis of expenditure."
CNL3162,43,US FDA PCCD,The Product Classification Database contains medical device names and associated information developed by the Center for Devices and Radiological Health (CDRH) in support of its mission. This database contains device names and their associated product codes. The name and product code identify the generic category of a device for FDA. The Product Code assigned to a device is based upon the medical device product classification designated under 21 CFR Parts 862-892.
CNL3162,44,SHPA,The Society of Hospital Pharmacists of Australia (SHPA)
CNL3162,45,SNOMED CT,Systematized Nomenclature of Medicine-Clinical Terms ( SNOMED CT® )
CNL3162,46,UMDNS,Universal Medical Device Nomenclature System (UMDNS)
CNL3162,47,DTB,DTB (fashion) Dialog Textil – Bekleiding (DTB) a German group of companies who joined forces for the TC sector. The product classification can be found on their website http://www.dialog-dtb.de if you are a member.
CNL3162,48,FEDAS PCK,"SGI-DHO (Sporting Goods Industry Data Harmonization Organization) is representing the interests of the different stakeholders of the sporting goods industry (retailers + brands). Its main task is the development and harmonisation of codes, which can be used by the sporting goods industry to exchange and analyse data. The focus is set on codes that have not already been standardised by international trade organisations. 
 In addition to the FEDAS (the European Federation of Sporting Goods Retail Associations) product classification key that has been developed a few years ago, and which is used by may stakeholders of the sporting goods industry, SGI-DHO is working on various other codes. 
 Under www.sgidho.com you can find further information."
CNL3162,49,EAS,EAS (footwear) European Article System: A harmonised system to classify and process the characteristics of shoes across Europe.
CNL3162,50,Australian TGA Type,"The Australian Therapeutic Goods Administration (TGA) classifies products it authorizes for sale in Australia. These items are considered either: Registered, Listed, Included or Classified as Other on the Australia Register of Therapeutic Goods (ARTG)."
CNL3162,51,Australian Medicines and Poisons Schedule Code,"SUSMP: An Australian classification and labelling of drugs and poisons named the Standard for the Uniform Scheduling of Medicines and Poisons (SUSMP). This was created and is maintained by the National Drugs and Poisons Scheduling Committee (NDPSC) which operates under control of the Therapeutic Goods Administration (TGA). This standard contains a list of 'Schedules', which are a way of grouping products together that may have similar regulatory controls over their availability. Criteria for scheduling may include such considerations as the purpose of use, potential for abuse, safety of use and the level of need for it."
CNL3162,52,Australian Pharmaceutical Benefits Scheme,"Australian Pharmaceutical Benefits Scheme: In Australia, medicine may be subsidized by its Government via the Pharmaceutical Benefits Scheme (PBS). The PBS is a program available to all Australian residents covered under the public healthcare system (known as Medicare)."
CNL3162,53,Australian TGA Risk Classification,The Pharmaceutical Benefits Schedule lists all drugs available under the scheme and the conditions under which it may be used.
CNL3162,54,MIV-C,The PBS is a way of the Australian government subsidising the cost of particular medicines to make them more affordable for the community.
CNL3162,55,MIV-D,"E.g. A consumer is entitled to purchase 100 tablets of aspirin under the scheme, the retail cost is $13.00, the government subsidizes $9.50, so the consumer will pay the difference of $3.50 for the medication."
CNL3162,56,BTE,"The Repatriation Pharmaceutical Benefits Scheme is effectively the same scheme, however, offered to eligible war veterans, war widows and their dependents."
CNL3162,57,REV,Australian TGA Risk Classification: The Therapeutic Goods Administration (TGA) have their own classification system for medical devices within Healthcare.
CNL3162,58,FDA Premarket Submission Number,"FDA Premarket Submission Number is a number associated with the regulatory decision regarding the applicant’s legal right to market a medical device for the following submission types: Premarket Notification (510(k))Premarket Approval (PMA)
 Product Development (PDP)
 Humanitarian Device Exemption (HDE)
 Biologics License Application (BLA)
 New Drug Application (NDA)."
CNL3162,59,ETIM,"ETIM - (Europees Technisch Informatie Model or European Technical Information Model in English) is an international organisation which develops, manages and publishes one European classification for technical products. More information: http://www.etim-international.com/."
CNL3162,60,G-DRG,"G-DRG (German - Diagnosis Related Groups). [DRG-Entgeltkatalog] List of fees for treatment in German hospitals. Includes flat fees for entire courses of treatment (DRG) as well as additional fees for supplementary treatment components. The national associations of health insurance, the Association of Private Health Insurance and the German Hospital Federation, founded the Institute for the Hospital Remuneration System (InEK GmbH). The Institute InEK GmbH operates on behalf of the shareholders of the GmbH, the German Hospital Association, the Association of Statutory Health Insurance Funds and the Association of private health insurance. http://www.g-drg.de/cms/"
CNL3162,61,ICD-GM,"ICD-GM (International Classification of Diseases – German Modification). [Diagnosen für Gesundheitsverwaltung] German modification of the International Classification of Diseases; official classification of diseases for ambulatory and stationary care in Germany. ICD was created by the World Health Organisation, and DIMDI (Deutsches Institut für Medizinische Dokumentation und Information) maintains the German modification to ICD http://www.dimdi.de/"
CNL3162,62,OPS-G,"OPS-G [Operationen- und Prozedurenschlüssel] List of codes for surgical and other medical procedures, derived from the ICPM (International Classification of Procedures in Medicine), mandatory for procedure coding in hospitals and for ambulatory surgery in Germany. ICPM is maintained by the World Health Organisation, and DIMDI (Deutsches Institut für Medizinische Dokumentation und Information) maintains the German modification to it. http://www.dimdi.de/"
CNL3162,63,NCM,"Mercosur/Mercosul Nomenclature (NCM): NCM is Nomenclatura Comum do MERCOSUL (MERCOSUR Common Nomenclature) Brazil, Argentina, Paraguay and Uruguay adopted the Mercosul Common Nomenclature (NCM), based on the Harmonized System Code. The eight numbers that is part of the NCM, uses the Harmonized System that forms the six first numbers, while the seventh and eighth numbers are used for specific within Mercosul. Harmonized System: The Harmonised Commodity Description and Coding System (HS) of tariff nomenclature is an internationally standardized system of names and numbers for classifying traded products developed and maintained by the World Customs Organization (WCO) (formerly the Customs Co-operation Council), an independent intergovernmental organization with over 170 member countries based in Brussels, Belgium. Example: 0104.10.11"
CNL3162,64,CORE DIY,CORE DIY (Consumer Retail Classification for the Do-it-Yourself Industry) is a system for the classification of trade items with expanded product properties and specifications which provide the granularity needed for online consumer retail. CORE DIY has been developed by the do-it-yourself industry and is managed by GS1 Netherlands on behalf of the DIY user community.
CNL3162,65,"FDA Preferred Term Code,","FDA Preferred Term Code, Unique four-character value assigned by the FDA to indicate a GMDN Preferred Term without exposing the GMDN PT Code."
CNL3162,66,Medsafe Risk Classification,Medsafe Risk Classification. The New Zealand Medical Devices Safety Authority
CNL3162,67,Medsafe Regulatory Classification,Medsafe Regulatory Classification The New Zealand Medicines Safety Authority
CNL3162,68,LPRR,"LPPR (List of Products and Healthcare Services Qualifying for Reimbursement) is defined by French social security and provided for in Article L-165-1 of the Code of Social Security as a nomenclature that lists medical devices for the diagnosis, treatment diseases (e.g. diabetes) or injury (bandages), hardware support everyday life, orthotics and external prostheses, implantable devices or vehicles for the physically disabled. For each product the LPPR is applied with the refundable amount, the repayment rate and possibly its end date of repayment."
CNL3162,69,INN,International Non-proprietary Names (INN) facilitate the identification of pharmaceutical substances or active pharmaceutical ingredients. Each INN is a unique name that is globally recognized and is public property. A non-proprietary name is also known as a generic name.
CNL3162,70,VBN,"Vereiniging van Bloemenveilingen in Nederland, Dutch Flower Auction Association. http://www.vbn.nl/en-US/Pages/default.aspx."
CNL3162,71,Groupement d’Etude des Marchés en Restauration Collective et de Nutrition,Groupement d’Etude des Marchés en Restauration Collective et de Nutrition - French government agency that is responsible for nutritional quality of meals served in social catering.
CNL3162,72,European Community School Milk,Program defined by the European Community to ensure milk products consumption at school.
CNL3162,73,OKPD2 Russian Classification of Product by Economic Activities.,OKPD2 Russian Classification of Product by Economic Activities.
CNL3162,74,French Ministry of Health,The French Ministry of Health is the agency in charge of the code list defining the healthcare product content (and possible associated risks) for the French market.
CNL3162,75,GS1 Sweden Alcoholic Beverages,Product Classification System for Alcohol Beverages managed by GS1 Sweden.
CNL3162,76,EU Med Device Classification,"The European medical device classification system is managed by the European Commission, the European Parliament and the Council of Ministers."
CNL3162,77,MiGeL Position number,The MiGeL item number regulates the reimbursement of medical products in the outpatient sector and is information that is required by all service providers in Switzerland in order to be able to bill service carriers. MiGel-Number applies to similar items across suppliers that have the identical number.
CNL3162,78,Swissmedic Sales Category,"Swiss Therapeutic Products Act, medicinal products authorisation procedures are divided into various supply categories. Those categories specify exactly who is permitted to supply and distribute which medicinal products, thereby ensuring competent guidance by trained specialists. Category examples are: “A” - Supply once with a prescription from a doctor or veterinarian; “B” - Supply with a prescription from a doctor or veterinarian; “C” - Supply on technical advice."
